Category: All categories

Week,Bitcoin: (Worldwide),Ethereum: (Worldwide),dogecoin: (Worldwide)
2017-01-01,7,<1,<1
2017-01-08,6,<1,<1
2017-01-15,4,<1,<1
2017-01-22,4,<1,<1
2017-01-29,4,<1,<1
2017-02-05,5,<1,<1
2017-02-12,4,<1,<1
2017-02-19,5,<1,<1
2017-02-26,6,1,<1
2017-03-05,7,<1,<1
2017-03-12,6,1,<1
2017-03-19,6,1,<1
2017-03-26,5,1,<1
2017-04-02,5,1,<1
2017-04-09,5,1,<1
2017-04-16,5,1,<1
2017-04-23,5,1,<1
2017-04-30,7,2,<1
2017-05-07,10,1,<1
2017-05-14,12,1,<1
2017-05-21,20,5,<1
2017-05-28,13,4,<1
2017-06-04,12,4,<1
2017-06-11,13,7,<1
2017-06-18,11,6,<1
2017-06-25,11,5,<1
2017-07-02,9,3,<1
2017-07-09,10,4,<1
2017-07-16,12,4,<1
2017-07-23,11,3,<1
2017-07-30,16,3,<1
2017-08-06,15,3,<1
2017-08-13,20,3,<1
2017-08-20,16,3,<1
2017-08-27,17,3,<1
2017-09-03,18,3,<1
2017-09-10,22,3,<1
2017-09-17,16,2,<1
2017-09-24,13,2,<1
2017-10-01,12,2,<1
2017-10-08,19,2,<1
2017-10-15,20,3,<1
2017-10-22,20,2,<1
2017-10-29,28,3,<1
2017-11-05,29,3,<1
2017-11-12,32,3,<1
2017-11-19,28,4,<1
2017-11-26,67,7,1
2017-12-03,93,7,1
2017-12-10,84,9,1
2017-12-17,100,9,2
2017-12-24,66,5,1
2017-12-31,48,7,2
2018-01-07,45,10,2
2018-01-14,58,8,1
2018-01-21,38,5,1
2018-01-28,40,5,1
2018-02-04,48,4,1
2018-02-11,28,3,1
2018-02-18,24,3,<1
2018-02-25,19,2,<1
2018-03-04,20,2,<1
2018-03-11,20,2,<1
2018-03-18,18,2,<1
2018-03-25,18,2,<1
2018-04-01,18,2,<1
2018-04-08,16,2,<1
2018-04-15,15,2,<1
2018-04-22,15,2,<1
2018-04-29,13,2,<1
2018-05-06,13,2,<1
2018-05-13,12,2,<1
2018-05-20,11,1,<1
2018-05-27,11,1,<1
2018-06-03,10,1,<1
2018-06-10,13,1,<1
2018-06-17,10,1,<1
2018-06-24,11,1,<1
2018-07-01,10,1,<1
2018-07-08,9,1,<1
2018-07-15,11,1,<1
2018-07-22,12,1,<1
2018-07-29,11,1,<1
2018-08-05,11,1,<1
2018-08-12,11,2,<1
2018-08-19,10,1,<1
2018-08-26,10,1,1
2018-09-02,11,1,1
2018-09-09,10,1,1
2018-09-16,9,1,<1
2018-09-23,8,1,<1
2018-09-30,8,1,<1
2018-10-07,8,1,<1
2018-10-14,8,1,<1
2018-10-21,8,1,<1
2018-10-28,8,1,<1
2018-11-04,8,1,<1
2018-11-11,10,1,<1
2018-11-18,14,1,<1
2018-11-25,14,1,<1
2018-12-02,12,1,<1
2018-12-09,11,1,<1
2018-12-16,11,1,<1
2018-12-23,10,1,<1
2018-12-30,9,1,<1
2019-01-06,9,1,<1
2019-01-13,8,1,<1
2019-01-20,8,1,<1
2019-01-27,7,1,<1
2019-02-03,8,1,<1
2019-02-10,7,1,<1
2019-02-17,8,1,<1
2019-02-24,8,1,<1
2019-03-03,7,1,<1
2019-03-10,7,1,<1
2019-03-17,7,1,<1
2019-03-24,7,1,<1
2019-03-31,12,1,<1
2019-04-07,10,1,<1
2019-04-14,8,1,<1
2019-04-21,9,1,<1
2019-04-28,9,1,<1
